index,Age,Gender,Formal_Education,Years_Coding,Salary
1005,27.0,Female,3.0,5.0,137499.5
1012,32.0,Female,3.0,5.0,12499.5
1018,37.0,Female,3.0,0.0,27499.5
1029,32.0,Female,3.0,2.0,74999.5
1031,27.0,Female,3.0,10.0,112499.5
1033,32.0,Female,3.0,10.0,44999.5
1047,42.0,Female,0.0,0.0,84999.5
1053,27.0,Female,3.0,10.0,6249.5
1065,52.0,Female,3.0,0.0,2499.5
1084,37.0,Female,1.0,20.0,400000.0
1088,27.0,Female,0.0,10.0,94999.5
1092,27.0,Female,3.0,5.0,44999.5
1096,37.0,Female,1.0,20.0,3499.5
1106,27.0,Female,0.0,10.0,174999.5
1113,27.0,Female,3.0,5.0,112499.5
1121,32.0,Female,3.0,10.0,112499.5
1123,32.0,Female,6.0,2.0,12499.5
1141,23.0,Female,3.0,5.0,112499.5
1142,27.0,Female,3.0,10.0,34999.5
1146,32.0,Female,3.0,10.0,34999.5
1153,57.0,Female,1.0,20.0,174999.5
1165,42.0,Female,3.0,20.0,112499.5
1170,27.0,Female,3.0,5.0,84999.5
1173,27.0,Female,0.0,5.0,54999.5
1177,27.0,Female,3.0,10.0,44999.5
1180,37.0,Female,1.0,2.0,84999.5
1187,32.0,Female,1.0,20.0,17499.5
1209,42.0,Female,1.0,10.0,112499.5
1220,47.0,Female,0.0,10.0,54999.5
1222,32.0,Female,3.0,0.0,8749.5
1229,32.0,Female,3.0,5.0,44999.5
1245,27.0,Female,1.0,5.0,34999.5
1251,37.0,Female,3.0,5.0,137499.5
1258,23.0,Female,0.0,2.0,17499.5
1278,42.0,Female,3.0,20.0,74999.5
1285,23.0,Female,3.0,5.0,34999.5
1291,32.0,Female,0.0,5.0,27499.5
1304,27.0,Female,3.0,10.0,224999.5
1311,32.0,Female,3.0,10.0,137499.5
1312,27.0,Female,0.0,5.0,174999.5
1314,27.0,Female,3.0,2.0,6249.5
1325,27.0,Female,3.0,10.0,12499.5
1329,32.0,Female,3.0,2.0,112499.5
1341,64.5,Female,3.0,20.0,224999.5
1345,32.0,Female,5.0,2.0,12499.5
1351,32.0,Female,1.0,10.0,112499.5
1359,27.0,Female,3.0,5.0,54999.5
1371,37.0,Female,0.0,2.0,34999.5
1383,32.0,Female,0.0,5.0,1499.5
1406,27.0,Female,0.0,5.0,4499.5
1433,52.0,Female,3.0,20.0,137499.5
1451,32.0,Female,3.0,20.0,1499.5
1463,32.0,Female,3.0,2.0,94999.5
1470,27.0,Female,3.0,2.0,1499.5
1475,37.0,Female,1.0,10.0,6249.5
1483,23.0,Female,3.0,10.0,44999.5
1495,32.0,Female,3.0,10.0,137499.5
1501,37.0,Female,3.0,20.0,27499.5
1507,57.0,Female,0.0,5.0,112499.5
1510,27.0,Female,1.0,5.0,54999.5
1520,42.0,Female,3.0,10.0,112499.5
1537,42.0,Female,3.0,0.0,112499.5
1541,42.0,Female,3.0,10.0,17499.5
1563,32.0,Female,3.0,5.0,112499.5
1572,42.0,Female,1.0,5.0,3499.5
1579,42.0,Female,1.0,5.0,12499.5
1583,27.0,Female,1.0,2.0,174999.5
1609,47.0,Female,2.0,0.0,1499.5
1621,32.0,Female,3.0,5.0,94999.5
1625,37.0,Female,1.0,20.0,64999.5
1638,42.0,Female,1.0,20.0,94999.5
1664,27.0,Female,3.0,10.0,400000.0
1671,37.0,Female,3.0,20.0,8749.5
1672,23.0,Female,0.0,2.0,1499.5
1674,37.0,Female,0.0,20.0,2499.5
1686,27.0,Female,0.0,2.0,22499.5
1688,32.0,Female,1.0,5.0,34999.5
1696,32.0,Female,3.0,2.0,17499.5
1697,32.0,Female,1.0,10.0,22499.5
1700,23.0,Female,0.0,2.0,3499.5
1745,32.0,Female,1.0,0.0,1499.5
1752,27.0,Female,3.0,5.0,6249.5
1759,37.0,Female,0.0,0.0,22499.5
1765,23.0,Female,3.0,5.0,17499.5
1771,42.0,Female,3.0,20.0,112499.5
1772,37.0,Female,3.0,2.0,84999.5
1775,27.0,Female,3.0,5.0,27499.5
1776,37.0,Female,0.0,0.0,64999.5
1801,32.0,Female,3.0,5.0,8749.5
1805,23.0,Female,3.0,5.0,112499.5
1824,32.0,Female,3.0,10.0,84999.5
1831,57.0,Female,4.0,10.0,74999.5
1832,27.0,Female,3.0,2.0,44999.5
1843,37.0,Female,0.0,10.0,8749.5
1858,32.0,Female,1.0,20.0,84999.5
1897,37.0,Female,3.0,2.0,22499.5
1899,27.0,Female,3.0,2.0,12499.5
1915,27.0,Female,3.0,2.0,34999.5
1923,37.0,Female,3.0,2.0,1499.5
1929,42.0,Female,5.0,5.0,44999.5
1935,37.0,Female,1.0,2.0,6249.5
1954,32.0,Female,3.0,2.0,17499.5
1957,37.0,Female,1.0,20.0,54999.5
1961,27.0,Female,3.0,5.0,27499.5
1970,42.0,Female,3.0,20.0,94999.5
1980,42.0,Female,3.0,2.0,54999.5
1987,23.0,Female,0.0,5.0,3499.5
1990,42.0,Female,3.0,20.0,27499.5
1997,32.0,Female,1.0,5.0,34999.5
2017,32.0,Female,3.0,2.0,27499.5
2039,23.0,Female,0.0,5.0,44999.5
2042,32.0,Female,3.0,2.0,17499.5
2069,37.0,Female,1.0,20.0,174999.5
2072,23.0,Female,3.0,2.0,17499.5
2103,23.0,Female,5.0,5.0,8749.5
2160,32.0,Female,1.0,5.0,1499.5
2161,32.0,Female,1.0,10.0,34999.5
2181,23.0,Female,3.0,10.0,34999.5
2189,37.0,Female,3.0,20.0,174999.5
2211,23.0,Female,1.0,5.0,34999.5
2214,47.0,Female,4.0,10.0,44999.5
2219,27.0,Female,3.0,2.0,17499.5
2229,42.0,Female,1.0,10.0,137499.5
2237,37.0,Female,6.0,2.0,64999.5
2244,37.0,Female,3.0,2.0,4499.5
2251,27.0,Female,0.0,5.0,12499.5
2256,27.0,Female,3.0,0.0,6249.5
2265,23.0,Female,3.0,10.0,6249.5
2267,32.0,Female,1.0,5.0,34999.5
2274,27.0,Female,1.0,20.0,112499.5
2278,37.0,Female,5.0,0.0,8749.5
2284,47.0,Female,3.0,2.0,22499.5
2287,27.0,Female,3.0,10.0,34999.5
2295,37.0,Female,3.0,2.0,1499.5
2299,27.0,Female,3.0,5.0,27499.5
2307,37.0,Female,3.0,2.0,3499.5
2313,27.0,Female,3.0,5.0,44999.5
2319,32.0,Female,1.0,10.0,4499.5
2320,27.0,Female,0.0,2.0,44999.5
2326,32.0,Female,3.0,10.0,34999.5
2331,27.0,Female,3.0,2.0,27499.5
2342,27.0,Female,3.0,2.0,64999.5
2347,27.0,Female,1.0,10.0,34999.5
2358,47.0,Female,3.0,20.0,54999.5
2359,27.0,Female,1.0,5.0,54999.5
2362,32.0,Female,3.0,5.0,74999.5
2363,57.0,Female,1.0,10.0,94999.5
2364,27.0,Female,3.0,0.0,2499.5
2365,27.0,Female,3.0,5.0,34999.5
2374,32.0,Female,3.0,10.0,34999.5
2377,57.0,Female,3.0,10.0,64999.5
2384,37.0,Female,3.0,20.0,137499.5
2387,47.0,Female,3.0,20.0,34999.5
2392,23.0,Female,3.0,2.0,2499.5
2399,27.0,Female,3.0,10.0,12499.5
2407,27.0,Female,6.0,5.0,44999.5
2414,27.0,Female,0.0,2.0,2499.5
2421,27.0,Female,3.0,2.0,12499.5
2427,57.0,Female,1.0,20.0,44999.5
2436,57.0,Female,0.0,20.0,84999.5
2438,37.0,Female,3.0,5.0,137499.5
2444,32.0,Female,1.0,20.0,22499.5
2451,27.0,Female,3.0,2.0,2499.5
2453,32.0,Female,3.0,0.0,4499.5
2459,23.0,Female,0.0,2.0,12499.5
2462,32.0,Female,3.0,10.0,74999.5
2465,27.0,Female,1.0,10.0,17499.5
2466,42.0,Female,3.0,5.0,64999.5
2467,37.0,Female,3.0,10.0,137499.5
2475,32.0,Female,3.0,2.0,54999.5
2477,23.0,Female,0.0,0.0,8749.5
2482,23.0,Female,0.0,0.0,6249.5
2483,27.0,Female,1.0,0.0,3499.5
2490,27.0,Female,3.0,10.0,54999.5
2492,42.0,Female,1.0,5.0,4499.5
2502,27.0,Female,0.0,2.0,17499.5
2505,37.0,Female,3.0,2.0,112499.5
2507,32.0,Female,3.0,10.0,34999.5
2514,27.0,Female,1.0,10.0,22499.5
2525,42.0,Female,3.0,5.0,27499.5
2540,32.0,Female,0.0,2.0,3499.5
2541,27.0,Female,3.0,0.0,44999.5
2542,37.0,Female,3.0,2.0,44999.5
2543,19.5,Female,3.0,5.0,54999.5
2552,47.0,Female,6.0,5.0,84999.5
2556,27.0,Female,3.0,5.0,84999.5
2562,37.0,Female,3.0,2.0,17499.5
2567,37.0,Female,3.0,10.0,137499.5
2569,27.0,Female,3.0,0.0,12499.5
2574,52.0,Female,1.0,5.0,112499.5
2575,27.0,Female,0.0,5.0,27499.5
2577,27.0,Female,1.0,2.0,4499.5
2581,27.0,Female,0.0,5.0,44999.5
2585,23.0,Female,0.0,2.0,17499.5
2590,23.0,Female,0.0,2.0,6249.5
2600,32.0,Female,1.0,5.0,12499.5
2604,37.0,Female,3.0,10.0,112499.5
2613,27.0,Female,3.0,10.0,12499.5
2640,42.0,Female,1.0,5.0,44999.5
2644,27.0,Female,0.0,0.0,1499.5
2650,52.0,Female,1.0,20.0,54999.5
2654,27.0,Female,3.0,5.0,17499.5
2668,37.0,Female,3.0,0.0,6249.5
2679,37.0,Female,1.0,20.0,137499.5
2690,27.0,Female,3.0,2.0,1499.5
2694,42.0,Female,1.0,10.0,64999.5
2699,37.0,Female,3.0,0.0,34999.5
2718,52.0,Female,3.0,20.0,174999.5
2722,42.0,Female,0.0,20.0,3499.5
2748,27.0,Female,3.0,2.0,27499.5
2752,32.0,Female,3.0,5.0,17499.5
2757,27.0,Female,3.0,5.0,54999.5
2766,27.0,Female,5.0,5.0,27499.5
2769,27.0,Female,0.0,2.0,44999.5
2778,27.0,Female,3.0,10.0,2499.5
2785,27.0,Female,3.0,5.0,84999.5
2786,42.0,Female,3.0,20.0,2499.5
2788,23.0,Female,3.0,2.0,6249.5
2800,32.0,Female,3.0,5.0,137499.5
2811,47.0,Female,3.0,20.0,27499.5
2814,42.0,Female,3.0,20.0,224999.5
2825,64.5,Female,1.0,0.0,400000.0
2830,47.0,Female,1.0,2.0,1499.5
2835,32.0,Female,1.0,2.0,22499.5
2848,52.0,Female,3.0,20.0,84999.5
2849,37.0,Female,0.0,5.0,64999.5
2854,32.0,Female,1.0,20.0,174999.5
2857,27.0,Female,3.0,5.0,94999.5
2859,32.0,Female,3.0,0.0,74999.5
2862,37.0,Female,1.0,20.0,27499.5
2864,27.0,Female,3.0,10.0,34999.5
2868,52.0,Female,3.0,2.0,54999.5
2886,23.0,Female,0.0,5.0,44999.5
2893,32.0,Female,1.0,10.0,94999.5
2900,42.0,Female,1.0,10.0,174999.5
2904,23.0,Female,0.0,2.0,12499.5
2905,32.0,Female,3.0,5.0,94999.5
2914,37.0,Female,3.0,10.0,3499.5
2915,27.0,Female,3.0,2.0,74999.5
2919,32.0,Female,1.0,20.0,34999.5
2923,47.0,Female,3.0,20.0,174999.5
2927,42.0,Female,1.0,20.0,174999.5
2932,52.0,Female,1.0,20.0,137499.5
2933,32.0,Female,1.0,5.0,94999.5
2942,32.0,Female,3.0,0.0,1499.5
2944,42.0,Female,3.0,10.0,174999.5
2946,23.0,Female,0.0,5.0,34999.5
2947,23.0,Female,0.0,5.0,94999.5
2958,27.0,Female,0.0,2.0,8749.5
2959,32.0,Female,3.0,2.0,6249.5
2965,32.0,Female,0.0,10.0,54999.5
2966,32.0,Female,1.0,20.0,174999.5
2967,23.0,Female,0.0,2.0,3499.5
2972,27.0,Female,0.0,2.0,112499.5
2986,52.0,Female,1.0,20.0,64999.5
2989,23.0,Female,0.0,2.0,84999.5
2990,42.0,Female,1.0,20.0,34999.5
3002,27.0,Female,3.0,5.0,2499.5
3011,42.0,Female,3.0,2.0,1499.5
3013,37.0,Female,3.0,5.0,4499.5
3030,42.0,Female,0.0,2.0,2499.5
3034,47.0,Female,6.0,20.0,112499.5
3043,27.0,Female,3.0,2.0,54999.5
3051,19.5,Female,0.0,2.0,3499.5
3053,47.0,Female,3.0,20.0,174999.5
3060,37.0,Female,1.0,20.0,174999.5
3069,32.0,Female,1.0,2.0,137499.5
3076,32.0,Female,1.0,5.0,12499.5
3077,37.0,Female,3.0,5.0,112499.5
3082,37.0,Female,5.0,2.0,3499.5
3105,23.0,Female,3.0,5.0,8749.5
3106,47.0,Female,1.0,20.0,174999.5
3112,27.0,Female,3.0,10.0,112499.5
3115,32.0,Female,3.0,5.0,84999.5
3117,64.5,Female,1.0,20.0,174999.5
3121,47.0,Female,0.0,20.0,137499.5
3123,47.0,Female,3.0,20.0,274999.5
3130,32.0,Female,3.0,2.0,54999.5
3132,27.0,Female,3.0,5.0,64999.5
3143,32.0,Female,0.0,2.0,22499.5
3159,32.0,Female,3.0,10.0,74999.5
3177,23.0,Female,0.0,5.0,1499.5
3181,27.0,Female,3.0,5.0,84999.5
3190,19.5,Female,0.0,2.0,3499.5
3197,32.0,Female,3.0,5.0,17499.5
3203,27.0,Female,3.0,5.0,44999.5
3213,57.0,Female,1.0,2.0,1499.5
3221,27.0,Female,3.0,10.0,27499.5
3235,37.0,Female,1.0,5.0,17499.5
3243,32.0,Female,3.0,10.0,64999.5
3244,23.0,Female,3.0,2.0,8749.5
3248,42.0,Female,1.0,20.0,2499.5
3256,42.0,Female,1.0,2.0,17499.5
3257,27.0,Female,4.0,0.0,4499.5
3295,37.0,Female,1.0,5.0,54999.5
3298,27.0,Female,1.0,5.0,12499.5
3301,32.0,Female,0.0,20.0,112499.5
3302,42.0,Female,1.0,20.0,17499.5
3311,32.0,Female,1.0,20.0,137499.5
3329,37.0,Female,1.0,10.0,84999.5
3339,37.0,Female,6.0,5.0,22499.5
3345,27.0,Female,3.0,5.0,6249.5
3355,37.0,Female,1.0,10.0,74999.5
3357,27.0,Female,0.0,10.0,112499.5
3366,27.0,Female,3.0,5.0,12499.5
3368,27.0,Female,1.0,5.0,74999.5
3384,32.0,Female,3.0,2.0,12499.5
3387,32.0,Female,0.0,0.0,94999.5
3417,37.0,Female,1.0,10.0,22499.5
3427,32.0,Female,3.0,10.0,64999.5
3428,23.0,Female,3.0,2.0,2499.5
3446,19.5,Female,3.0,2.0,22499.5
3452,47.0,Female,1.0,20.0,3499.5
3453,32.0,Female,0.0,10.0,94999.5
3459,32.0,Female,1.0,10.0,34999.5
3466,19.5,Female,0.0,5.0,12499.5
3488,37.0,Female,1.0,10.0,4499.5
3490,32.0,Female,3.0,10.0,74999.5
3501,32.0,Female,1.0,5.0,44999.5
3503,37.0,Female,0.0,20.0,137499.5
3524,27.0,Female,3.0,10.0,137499.5
3525,32.0,Female,3.0,5.0,174999.5
3527,37.0,Female,2.0,10.0,54999.5
3534,57.0,Female,1.0,20.0,224999.5
3536,47.0,Female,1.0,20.0,74999.5
3540,27.0,Female,3.0,5.0,2499.5
3548,23.0,Female,3.0,5.0,12499.5
3554,47.0,Female,0.0,10.0,112499.5
3566,37.0,Female,1.0,5.0,137499.5
3574,32.0,Female,3.0,10.0,2499.5
3575,32.0,Female,3.0,10.0,22499.5
3576,32.0,Female,3.0,10.0,84999.5
3578,32.0,Female,1.0,5.0,94999.5
3582,37.0,Female,3.0,20.0,112499.5
3584,42.0,Female,1.0,20.0,64999.5
3590,37.0,Female,2.0,5.0,1499.5
3591,23.0,Female,3.0,2.0,17499.5
3593,27.0,Female,0.0,10.0,27499.5
3601,37.0,Female,1.0,5.0,74999.5
3610,32.0,Female,3.0,2.0,34999.5
3621,27.0,Female,5.0,2.0,6249.5
3622,27.0,Female,3.0,2.0,8749.5
3652,37.0,Female,1.0,20.0,137499.5
3657,23.0,Female,3.0,2.0,17499.5
3658,27.0,Female,3.0,5.0,44999.5
3671,23.0,Female,0.0,2.0,74999.5
3672,37.0,Female,1.0,20.0,74999.5
3681,42.0,Female,1.0,2.0,54999.5
3687,27.0,Female,1.0,10.0,6249.5
3694,32.0,Female,0.0,20.0,112499.5
3696,32.0,Female,3.0,20.0,137499.5
3711,27.0,Female,3.0,0.0,137499.5
3718,32.0,Female,1.0,10.0,64999.5
3727,64.5,Female,3.0,20.0,94999.5
3753,19.5,Female,0.0,5.0,74999.5
3755,32.0,Female,0.0,10.0,27499.5
3756,64.5,Female,1.0,5.0,64999.5
3758,32.0,Female,1.0,20.0,84999.5
3759,27.0,Female,3.0,10.0,34999.5
3774,27.0,Female,1.0,2.0,8749.5
3780,42.0,Female,1.0,20.0,2499.5
3795,27.0,Female,0.0,10.0,174999.5
3798,32.0,Female,3.0,10.0,54999.5
3808,57.0,Female,3.0,10.0,27499.5
3827,42.0,Female,1.0,20.0,400000.0
3829,23.0,Female,0.0,0.0,3499.5
3836,32.0,Female,0.0,10.0,12499.5
3838,47.0,Female,5.0,0.0,44999.5
3843,37.0,Female,3.0,2.0,44999.5
3844,32.0,Female,3.0,2.0,6249.5
3845,37.0,Female,3.0,10.0,74999.5
3849,37.0,Female,3.0,2.0,34999.5
3850,52.0,Female,3.0,5.0,64999.5
3853,47.0,Female,3.0,0.0,54999.5
3860,42.0,Female,1.0,10.0,2499.5
3865,32.0,Female,1.0,0.0,112499.5
3867,27.0,Female,3.0,2.0,12499.5
3871,27.0,Female,3.0,5.0,1499.5
3887,27.0,Female,3.0,10.0,12499.5
3899,64.5,Female,1.0,0.0,34999.5
3901,37.0,Female,0.0,20.0,54999.5
3904,42.0,Female,1.0,20.0,94999.5
3916,23.0,Female,3.0,5.0,34999.5
3922,23.0,Female,0.0,5.0,84999.5
3923,27.0,Female,3.0,2.0,2499.5
3927,32.0,Female,3.0,2.0,94999.5
3939,42.0,Female,3.0,2.0,44999.5
3942,32.0,Female,1.0,10.0,27499.5
3943,37.0,Female,0.0,10.0,74999.5
3948,37.0,Female,3.0,5.0,74999.5
3949,32.0,Female,1.0,2.0,27499.5
3966,27.0,Female,0.0,5.0,54999.5
3978,19.5,Female,0.0,2.0,1499.5
3984,32.0,Female,5.0,10.0,54999.5
3986,37.0,Female,3.0,20.0,137499.5
3988,52.0,Female,1.0,2.0,12499.5
3990,32.0,Female,3.0,2.0,54999.5
3999,32.0,Female,3.0,2.0,84999.5
4004,37.0,Female,0.0,5.0,4499.5
4018,19.5,Female,4.0,2.0,4499.5
4020,32.0,Female,3.0,10.0,137499.5
4021,42.0,Female,3.0,2.0,27499.5
4029,37.0,Female,1.0,10.0,64999.5
4038,57.0,Female,3.0,20.0,274999.5
4039,27.0,Female,0.0,5.0,64999.5
4040,42.0,Female,0.0,0.0,22499.5
4050,37.0,Female,3.0,5.0,4499.5
4051,32.0,Female,0.0,0.0,17499.5
4057,32.0,Female,0.0,0.0,34999.5
4062,52.0,Female,1.0,5.0,3499.5
4087,27.0,Female,3.0,5.0,34999.5
4089,32.0,Female,0.0,10.0,84999.5
4094,27.0,Female,3.0,2.0,64999.5
4104,27.0,Female,0.0,10.0,64999.5
4107,27.0,Female,3.0,2.0,22499.5
4116,27.0,Female,3.0,5.0,74999.5
4135,32.0,Female,1.0,10.0,174999.5
4136,42.0,Female,5.0,0.0,8749.5
4137,32.0,Female,0.0,10.0,1499.5
4150,42.0,Female,3.0,2.0,6249.5
4155,27.0,Female,0.0,10.0,174999.5
4161,23.0,Female,0.0,2.0,6249.5
4162,42.0,Female,1.0,10.0,3499.5
4167,47.0,Female,1.0,10.0,12499.5
4175,32.0,Female,1.0,10.0,27499.5
4183,42.0,Female,1.0,10.0,17499.5
4184,27.0,Female,3.0,2.0,6249.5
4208,42.0,Female,3.0,10.0,4499.5
4212,52.0,Female,3.0,20.0,112499.5
4230,27.0,Female,1.0,0.0,12499.5
4242,64.5,Female,0.0,20.0,94999.5
4246,32.0,Female,3.0,2.0,6249.5
4249,27.0,Female,3.0,2.0,74999.5
4273,27.0,Female,3.0,2.0,94999.5
4283,32.0,Female,3.0,5.0,84999.5
4322,37.0,Female,3.0,10.0,174999.5
4326,42.0,Female,0.0,0.0,54999.5
4331,42.0,Female,1.0,2.0,12499.5
4335,32.0,Female,1.0,2.0,1499.5
4354,27.0,Female,3.0,5.0,44999.5
4364,32.0,Female,3.0,10.0,34999.5
4407,27.0,Female,0.0,5.0,6249.5
4415,52.0,Female,3.0,5.0,64999.5
4417,57.0,Female,3.0,20.0,94999.5
4421,47.0,Female,3.0,5.0,94999.5
4427,27.0,Female,3.0,10.0,74999.5
4428,37.0,Female,3.0,5.0,137499.5
4429,32.0,Female,3.0,10.0,137499.5
4440,27.0,Female,3.0,2.0,44999.5
4441,37.0,Female,0.0,10.0,27499.5
4453,32.0,Female,0.0,5.0,174999.5
4459,37.0,Female,3.0,20.0,64999.5
4464,42.0,Female,1.0,20.0,137499.5
4484,37.0,Female,3.0,10.0,17499.5
4498,27.0,Female,0.0,2.0,12499.5
4505,27.0,Female,0.0,2.0,34999.5
4512,47.0,Female,3.0,2.0,22499.5
4516,32.0,Female,1.0,5.0,44999.5
4524,27.0,Female,3.0,5.0,1499.5
4529,37.0,Female,1.0,10.0,64999.5
4536,32.0,Female,1.0,20.0,174999.5
4553,42.0,Female,3.0,5.0,1499.5
4556,32.0,Female,0.0,5.0,44999.5
4560,37.0,Female,1.0,5.0,1499.5
4562,32.0,Female,1.0,10.0,137499.5
4568,42.0,Female,1.0,5.0,34999.5
4580,32.0,Female,3.0,5.0,54999.5
4583,27.0,Female,3.0,5.0,94999.5
4588,37.0,Female,0.0,2.0,34999.5
4592,27.0,Female,3.0,5.0,137499.5
