index,Age,Gender,Country,Formal_Education,Position,Years_Coding,Salary
214,32.0,Prefer to self-describe,Other,Doctoral degree,Research Scientist,5.0,27499.5
215,64.5,Male,United States of America,Doctoral degree,Data Scientist,20.0,400000.0
216,27.0,Female,Russia,Doctoral degree,Data Scientist,5.0,27499.5
217,27.0,Male,Other,Master’s degree,Other,2.0,22499.5
218,32.0,Male,India,Master’s degree,Data Scientist,10.0,22499.5
219,57.0,Male,United States of America,Bachelor’s degree,Other,20.0,174999.5
220,23.0,Male,India,Bachelor’s degree,Data Analyst,2.0,17499.5
221,23.0,Male,India,Bachelor’s degree,Data Scientist,2.0,12499.5
222,27.0,Male,Italy,Professional degree,Data Scientist,10.0,44999.5
223,57.0,Female,Canada,Bachelor’s degree,Data Analyst,10.0,84999.5
224,27.0,Male,United States of America,Bachelor’s degree,Data Analyst,5.0,94999.5
225,23.0,Female,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,2.0,12499.5
226,27.0,Prefer not to say,Japan,Master’s degree,Data Analyst,5.0,44999.5
227,47.0,Female,United States of America,Master’s degree,Data Analyst,5.0,137499.5
228,27.0,Male,United States of America,Master’s degree,Data Scientist,2.0,137499.5
229,27.0,Female,France,Master’s degree,Data Scientist,5.0,44999.5
230,23.0,Male,India,Master’s degree,Software Engineer,2.0,6249.5
231,19.5,Male,India,Master’s degree,Business Analyst,20.0,224999.5
232,32.0,Male,Japan,Master’s degree,Data Analyst,5.0,4499.5
233,57.0,Male,Taiwan,Doctoral degree,Research Scientist,2.0,34999.5
234,27.0,Male,Russia,No formal education past high school,Statistician,5.0,22499.5
235,27.0,Male,Mexico,Bachelor’s degree,Data Scientist,5.0,12499.5
236,27.0,Male,France,Doctoral degree,Data Scientist,2.0,2499.5
237,23.0,Prefer to self-describe,Russia,Professional degree,Software Engineer,2.0,12499.5
238,37.0,Male,Brazil,Master’s degree,DBA/Database Engineer,5.0,54999.5
239,32.0,Male,Argentina,Doctoral degree,Data Scientist,20.0,17499.5
240,23.0,Prefer not to say,Viet Nam,Bachelor’s degree,Data Scientist,2.0,400000.0
241,32.0,Male,Japan,Bachelor’s degree,Other,10.0,112499.5
242,32.0,Male,United States of America,Master’s degree,Product/Project Manager,10.0,224999.5
243,27.0,Male,Italy,Doctoral degree,Research Scientist,10.0,12499.5
244,27.0,Male,India,Master’s degree,Data Scientist,5.0,8749.5
245,32.0,Male,Japan,Master’s degree,Data Scientist,10.0,6249.5
246,32.0,Male,India,Bachelor’s degree,Software Engineer,2.0,12499.5
247,32.0,Male,India,Bachelor’s degree,Software Engineer,10.0,17499.5
248,57.0,Male,Brazil,Master’s degree,Software Engineer,5.0,12499.5
249,27.0,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5.0,74999.5
250,32.0,Male,Netherlands,Doctoral degree,Data Scientist,10.0,54999.5
251,42.0,Male,United States of America,Professional degree,Software Engineer,2.0,112499.5
252,47.0,Female,Japan,Doctoral degree,Data Scientist,20.0,112499.5
253,37.0,Male,Spain,Doctoral degree,Research Scientist,2.0,34999.5
254,37.0,Male,Singapore,Master’s degree,Data Scientist,10.0,174999.5
255,32.0,Male,Pakistan,Bachelor’s degree,Software Engineer,2.0,17499.5
256,32.0,Male,United States of America,Master’s degree,Data Scientist,10.0,137499.5
257,52.0,Male,Canada,Master’s degree,Data Scientist,5.0,8749.5
258,32.0,Female,France,Doctoral degree,Research Scientist,2.0,64999.5
259,47.0,Female,Canada,Bachelor’s degree,Product/Project Manager,20.0,74999.5
260,32.0,Male,India,Master’s degree,Other,0.0,12499.5
261,37.0,Male,Brazil,Master’s degree,Software Engineer,2.0,22499.5
262,32.0,Female,Russia,Master’s degree,Data Analyst,10.0,12499.5
263,27.0,Female,United States of America,Bachelor’s degree,Other,5.0,22499.5
264,27.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Research Scientist,10.0,54999.5
265,42.0,Female,United States of America,Bachelor’s degree,Data Analyst,2.0,64999.5
266,27.0,Male,Germany,Doctoral degree,Research Scientist,5.0,54999.5
267,23.0,Male,Germany,Master’s degree,Software Engineer,10.0,34999.5
268,42.0,Female,United States of America,Master’s degree,Software Engineer,5.0,137499.5
269,52.0,Male,France,Professional degree,Data Engineer,20.0,137499.5
270,37.0,Male,United States of America,Doctoral degree,Statistician,20.0,74999.5
271,42.0,Male,United States of America,Bachelor’s degree,Statistician,20.0,137499.5
272,47.0,Male,United States of America,Master’s degree,Data Analyst,2.0,94999.5
273,32.0,Male,United States of America,Master’s degree,Data Scientist,10.0,94999.5
274,23.0,Male,Colombia,Professional degree,Data Analyst,5.0,1499.5
275,32.0,Male,United States of America,Master’s degree,Research Scientist,10.0,224999.5
276,37.0,Male,Italy,Bachelor’s degree,Data Analyst,0.0,34999.5
277,37.0,Male,Canada,Doctoral degree,Data Scientist,20.0,112499.5
278,52.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Product/Project Manager,5.0,112499.5
279,27.0,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,10.0,74999.5
280,42.0,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Product/Project Manager,20.0,174999.5
281,32.0,Male,Germany,Doctoral degree,Research Scientist,5.0,44999.5
282,27.0,Male,Germany,Master’s degree,Data Analyst,2.0,54999.5
283,42.0,Male,United States of America,Doctoral degree,Data Scientist,10.0,112499.5
284,52.0,Male,United States of America,Master’s degree,Other,20.0,112499.5
285,42.0,Male,India,I prefer not to answer,Product/Project Manager,5.0,27499.5
286,37.0,Female,Sweden,Master’s degree,Data Engineer,5.0,6249.5
287,27.0,Male,United States of America,Bachelor’s degree,Data Engineer,5.0,112499.5
288,27.0,Male,United States of America,Master’s degree,Software Engineer,2.0,112499.5
289,32.0,Male,South Africa,Master’s degree,Business Analyst,5.0,64999.5
290,32.0,Male,United States of America,Master’s degree,Data Scientist,20.0,274999.5
291,32.0,Male,Canada,Master’s degree,Data Scientist,5.0,84999.5
292,32.0,Male,United States of America,Doctoral degree,Data Scientist,20.0,94999.5
293,42.0,Male,Canada,Doctoral degree,Research Scientist,20.0,274999.5
294,32.0,Male,United States of America,Bachelor’s degree,Other,10.0,137499.5
295,42.0,Male,Italy,Master’s degree,Data Analyst,5.0,1499.5
296,42.0,Male,Poland,Master’s degree,Product/Project Manager,20.0,22499.5
297,32.0,Male,Poland,Master’s degree,Data Scientist,5.0,22499.5
298,27.0,Male,India,Bachelor’s degree,Data Scientist,10.0,94999.5
299,42.0,Male,United States of America,Doctoral degree,Other,20.0,400000.0
300,27.0,Male,Spain,Master’s degree,Product/Project Manager,5.0,34999.5
301,23.0,Male,India,Master’s degree,Data Scientist,2.0,8749.5
302,32.0,Male,Ireland,Master’s degree,Software Engineer,2.0,44999.5
303,27.0,Male,United States of America,Master’s degree,Data Scientist,10.0,84999.5
304,27.0,Male,Brazil,Master’s degree,Data Scientist,5.0,22499.5
305,23.0,Male,India,Bachelor’s degree,Research Scientist,2.0,22499.5
306,32.0,Male,United States of America,Bachelor’s degree,Data Scientist,5.0,137499.5
307,52.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,84999.5
308,23.0,Male,India,Bachelor’s degree,Software Engineer,5.0,8749.5
309,23.0,Male,"Iran, Islamic Republic of...",Bachelor’s degree,Software Engineer,2.0,12499.5
310,37.0,Male,Canada,Master’s degree,Data Scientist,10.0,94999.5
311,27.0,Male,Spain,Doctoral degree,Other,0.0,27499.5
312,57.0,Male,Spain,Doctoral degree,Research Scientist,2.0,22499.5
313,42.0,Male,Other,Doctoral degree,Software Engineer,20.0,224999.5
314,32.0,Male,United States of America,Doctoral degree,Data Scientist,20.0,174999.5
315,37.0,Male,United States of America,Doctoral degree,Data Scientist,20.0,137499.5
316,57.0,Male,United States of America,Doctoral degree,Data Scientist,20.0,174999.5
317,47.0,Male,India,Doctoral degree,Other,20.0,34999.5
318,27.0,Male,United States of America,Bachelor’s degree,Software Engineer,20.0,174999.5
319,64.5,Male,United States of America,Doctoral degree,Data Scientist,5.0,137499.5
320,32.0,Male,Poland,Some college/university study without earning a bachelor’s degree,Other,0.0,8749.5
321,37.0,Male,Singapore,Master’s degree,Data Analyst,20.0,137499.5
322,23.0,Male,Bangladesh,Bachelor’s degree,Data Scientist,5.0,17499.5
323,27.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,5.0,64999.5
324,37.0,Male,United States of America,Master’s degree,Data Analyst,2.0,94999.5
325,27.0,Male,Russia,Master’s degree,Data Scientist,10.0,400000.0
326,23.0,Male,Turkey,Master’s degree,Data Scientist,2.0,44999.5
327,27.0,Male,United States of America,Bachelor’s degree,Software Engineer,10.0,174999.5
328,32.0,Female,Egypt,Bachelor’s degree,Data Scientist,5.0,1499.5
329,27.0,Male,Netherlands,Doctoral degree,Other,5.0,64999.5
330,37.0,Male,United States of America,Master’s degree,Data Scientist,2.0,112499.5
331,32.0,Male,Switzerland,Doctoral degree,Research Scientist,20.0,174999.5
332,42.0,Male,Other,Professional degree,Research Scientist,2.0,12499.5
333,27.0,Female,India,Master’s degree,Data Scientist,5.0,4499.5
334,42.0,Male,Other,Master’s degree,Data Scientist,20.0,112499.5
335,27.0,Male,India,Bachelor’s degree,Data Scientist,5.0,64999.5
336,32.0,Male,France,Master’s degree,Software Engineer,10.0,44999.5
337,37.0,Male,Singapore,Master’s degree,Product/Project Manager,20.0,274999.5
338,32.0,Female,United States of America,Doctoral degree,Research Scientist,10.0,137499.5
339,32.0,Male,Russia,Doctoral degree,Data Scientist,5.0,44999.5
340,27.0,Male,Brazil,Master’s degree,Data Scientist,5.0,27499.5
341,37.0,Male,India,Master’s degree,Other,5.0,54999.5
342,42.0,Female,South Africa,Bachelor’s degree,Data Scientist,20.0,54999.5
343,32.0,Female,United States of America,Doctoral degree,Research Scientist,10.0,54999.5
344,37.0,Male,India,Master’s degree,Data Scientist,20.0,4499.5
345,47.0,Male,Turkey,Doctoral degree,Data Analyst,20.0,17499.5
346,37.0,Male,Other,Master’s degree,Software Engineer,10.0,64999.5
347,23.0,Male,India,Master’s degree,Data Scientist,2.0,94999.5
348,27.0,Male,Other,Doctoral degree,Software Engineer,5.0,12499.5
349,47.0,Male,United States of America,Master’s degree,Other,20.0,174999.5
350,32.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,74999.5
351,52.0,Male,Taiwan,Master’s degree,Software Engineer,20.0,34999.5
352,27.0,Male,Italy,Master’s degree,Data Scientist,5.0,54999.5
353,47.0,Male,Brazil,I prefer not to answer,Data Scientist,10.0,12499.5
354,57.0,Male,Netherlands,Doctoral degree,Business Analyst,5.0,27499.5
355,32.0,Male,Singapore,Doctoral degree,Software Engineer,10.0,44999.5
356,37.0,Male,Russia,Master’s degree,Software Engineer,5.0,27499.5
357,37.0,Male,Poland,Doctoral degree,Data Scientist,10.0,22499.5
358,42.0,Male,Canada,Professional degree,Other,0.0,64999.5
359,37.0,Male,India,Master’s degree,Product/Project Manager,20.0,34999.5
360,27.0,Female,Japan,Master’s degree,Data Scientist,0.0,3499.5
361,32.0,Male,Brazil,Professional degree,Other,10.0,2499.5
362,32.0,Male,Pakistan,Master’s degree,Software Engineer,5.0,6249.5
363,42.0,Male,Other,Master’s degree,Data Scientist,10.0,112499.5
364,37.0,Male,Other,Master’s degree,Product/Project Manager,2.0,54999.5
365,37.0,Male,India,Bachelor’s degree,Product/Project Manager,20.0,17499.5
366,32.0,Female,Italy,Doctoral degree,Data Scientist,5.0,34999.5
367,27.0,Female,India,Master’s degree,Software Engineer,5.0,174999.5
368,47.0,Prefer not to say,Italy,I prefer not to answer,Software Engineer,5.0,8749.5
369,27.0,Female,Other,Master’s degree,Software Engineer,5.0,12499.5
